Date,Day_Number,Day,Month,Short_Month,Calendar_Month_Number,Calendar_Month_Label,Calendar_Year,Calendar_Year_Label,Fiscal_Month_Number,Fiscal_Month_Label,Fiscal_Year,Fiscal_Year_Label,ISO_Week_Number
2002-01-31T00:00:00.000Z,31,31,January,Jan,1,CY2002-Jan,2002,CY2002,3,FY2002-Jan,2002,FY2002,5
2002-03-31T00:00:00.000Z,31,31,March,Mar,3,CY2002-Mar,2002,CY2002,5,FY2002-Mar,2002,FY2002,13
2002-05-31T00:00:00.000Z,31,31,May,May,5,CY2002-May,2002,CY2002,7,FY2002-May,2002,FY2002,22
2002-07-31T00:00:00.000Z,31,31,July,Jul,7,CY2002-Jul,2002,CY2002,9,FY2002-Jul,2002,FY2002,31
2002-08-31T00:00:00.000Z,31,31,August,Aug,8,CY2002-Aug,2002,CY2002,10,FY2002-Aug,2002,FY2002,35
2002-09-30T00:00:00.000Z,30,30,September,Sep,9,CY2002-Sep,2002,CY2002,11,FY2002-Sep,2002,FY2002,40
2002-10-30T00:00:00.000Z,30,30,October,Oct,10,CY2002-Oct,2002,CY2002,12,FY2002-Oct,2002,FY2002,44
2002-10-31T00:00:00.000Z,31,31,October,Oct,10,CY2002-Oct,2002,CY2002,12,FY2002-Oct,2002,FY2002,44
2002-11-30T00:00:00.000Z,30,30,November,Nov,11,CY2002-Nov,2002,CY2002,1,FY2003-Nov,2003,FY2003,48
2002-12-30T00:00:00.000Z,30,30,December,Dec,12,CY2002-Dec,2002,CY2002,2,FY2003-Dec,2003,FY2003,1
2002-12-31T00:00:00.000Z,31,31,December,Dec,12,CY2002-Dec,2002,CY2002,2,FY2003-Dec,2003,FY2003,1
2005-01-11T00:00:00.000Z,11,11,January,Jan,1,CY2005-Jan,2005,CY2005,3,FY2005-Jan,2005,FY2005,2
2005-01-12T00:00:00.000Z,12,12,January,Jan,1,CY2005-Jan,2005,CY2005,3,FY2005-Jan,2005,FY2005,2
2005-01-13T00:00:00.000Z,13,13,January,Jan,1,CY2005-Jan,2005,CY2005,3,FY2005-Jan,2005,FY2005,2
2005-01-14T00:00:00.000Z,14,14,January,Jan,1,CY2005-Jan,2005,CY2005,3,FY2005-Jan,2005,FY2005,2
2005-01-15T00:00:00.000Z,15,15,January,Jan,1,CY2005-Jan,2005,CY2005,3,FY2005-Jan,2005,FY2005,2
2005-01-16T00:00:00.000Z,16,16,January,Jan,1,CY2005-Jan,2005,CY2005,3,FY2005-Jan,2005,FY2005,2
2005-01-17T00:00:00.000Z,17,17,January,Jan,1,CY2005-Jan,2005,CY2005,3,FY2005-Jan,2005,FY2005,3
2005-01-18T00:00:00.000Z,18,18,January,Jan,1,CY2005-Jan,2005,CY2005,3,FY2005-Jan,2005,FY2005,3
2005-01-19T00:00:00.000Z,19,19,January,Jan,1,CY2005-Jan,2005,CY2005,3,FY2005-Jan,2005,FY2005,3
2005-01-20T00:00:00.000Z,20,20,January,Jan,1,CY2005-Jan,2005,CY2005,3,FY2005-Jan,2005,FY2005,3
2005-02-11T00:00:00.000Z,11,11,February,Feb,2,CY2005-Feb,2005,CY2005,4,FY2005-Feb,2005,FY2005,6
2005-02-12T00:00:00.000Z,12,12,February,Feb,2,CY2005-Feb,2005,CY2005,4,FY2005-Feb,2005,FY2005,6
2005-02-13T00:00:00.000Z,13,13,February,Feb,2,CY2005-Feb,2005,CY2005,4,FY2005-Feb,2005,FY2005,6
2005-02-14T00:00:00.000Z,14,14,February,Feb,2,CY2005-Feb,2005,CY2005,4,FY2005-Feb,2005,FY2005,7
2005-02-15T00:00:00.000Z,15,15,February,Feb,2,CY2005-Feb,2005,CY2005,4,FY2005-Feb,2005,FY2005,7
2005-02-16T00:00:00.000Z,16,16,February,Feb,2,CY2005-Feb,2005,CY2005,4,FY2005-Feb,2005,FY2005,7
